,arc_L_segment,end_end_dist_2_segment,file_label,file_path,frame_numer,max_arc_l,Arc_win_rgn_A,Arc_win_rgn_B,avg_arc_l_win_fil_1,avg_arc_l_win_fil_2,fil_label,Arc_win_size,max_arc_L_segment,E_bend_arr_kBT,Mean_Curvature_segment,Std_Curvature_segment,E_bend_filament_kBT,L_p,L_p_std,R_sq_fit,L_P_dist,mean_pt_curv_for_dist
21,"[8.40,16.81,25.21,33.62,42.02]","[69.79,276.29,613.00,1055.87,1603.11]",S_1,/Users/yogehs/Downloads/SbcC/S/1/11.csv,10.0,84.8506136700952,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.27,0.18,0.14,0.20,0.05]","[-0.03,-0.02,-0.02,-0.03,-0.01]","[0.00,0.01,0.01,0.00,0.00]",0.8475,73.983,3.4946618832669336,1.0,12574.933,-0.024234669844770827
22,"[8.10,16.19,24.29,32.39,40.49]","[63.01,229.81,478.85,809.79,1253.23]",S_1,/Users/yogehs/Downloads/SbcC/S/1/12.csv,11.0,81.15190617081595,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.56,0.37,0.13,0.05,0.01]","[0.08,0.06,0.04,0.02,-0.01]","[0.01,0.01,0.00,0.01,0.01]",1.122,22.116,0.9999995245399383,0.999,875.628,0.03301214583503145
23,"[8.05,16.10,24.14,32.19,40.24]","[63.79,252.03,557.32,968.79,1465.96]",S_1,/Users/yogehs/Downloads/SbcC/S/1/12.csv,11.0,81.15190617081595,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.25,0.24,0.19,0.12,0.02]","[-0.03,-0.03,-0.03,-0.02,-0.01]","[0.00,0.01,0.01,0.01,0.00]",0.8161,68.845,2.881580791644289,1.0,12592.927,-0.02590258170273925
24,"[8.26,16.52,24.78,33.04,41.30]","[65.43,238.03,498.73,839.46,1302.86]",S_1,/Users/yogehs/Downloads/SbcC/S/1/13.csv,12.0,82.77728948025857,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.58,0.37,0.13,0.05,0.01]","[0.08,0.06,0.04,0.02,-0.01]","[0.01,0.01,0.00,0.01,0.01]",1.1327,22.436,1.053351235761026,0.999,948.634,0.03392114808645756
25,"[8.22,16.43,24.65,32.86,41.08]","[65.91,265.02,583.20,967.25,1431.41]",S_1,/Users/yogehs/Downloads/SbcC/S/1/13.csv,12.0,82.77728948025857,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.07,0.16,0.22,0.30,0.05]","[-0.02,-0.03,-0.04,-0.04,-0.02]","[0.00,0.00,0.01,0.01,0.00]",0.7944,42.703,3.274439095616474,0.999,7856.93,-0.029504867908469755
26,"[8.44,16.89,25.33,33.78,42.22]","[67.23,254.11,527.30,917.47,1444.35]",S_1,/Users/yogehs/Downloads/SbcC/S/1/14.csv,13.0,84.52744321751757,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.40,0.58,0.09,0.01,0.01]","[0.06,0.07,0.03,0.01,-0.01]","[0.01,0.01,0.01,0.00,0.00]",1.0956,29.071,2.0682498543880303,0.998,1168.461,0.025465065189066754
27,"[8.38,16.76,25.15,33.53,41.91]","[69.29,277.97,611.98,1013.76,1463.02]",S_1,/Users/yogehs/Downloads/SbcC/S/1/14.csv,13.0,84.52744321751757,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.01,0.04,0.38,0.41,0.05]","[-0.01,-0.02,-0.05,-0.05,-0.02]","[0.00,0.01,0.01,0.01,0.00]",0.8807,40.635,4.360756753169543,0.997,2414.225,-0.027083811019761764
28,"[8.16,16.33,24.49,32.66,40.82]","[65.54,246.46,529.10,913.48,1415.10]",S_1,/Users/yogehs/Downloads/SbcC/S/1/15.csv,14.0,81.70805365273,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.34,0.52,0.12,0.03,0.00]","[0.05,0.06,0.03,0.01,0.00]","[0.01,0.01,0.01,0.00,0.00]",1.0138,37.962,1.5674296906070004,1.0,2252.519,0.026361734324531552
29,"[8.08,16.17,24.25,32.34,40.42]","[65.04,257.10,543.47,911.93,1356.65]",S_1,/Users/yogehs/Downloads/SbcC/S/1/15.csv,14.0,81.70805365273,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.01,0.24,0.40,0.09,0.02]","[-0.01,-0.04,-0.05,-0.02,-0.01]","[0.01,0.01,0.01,0.01,0.00]",0.761,35.864,1.6301501144679955,0.999,2957.753,-0.030012293069972204
30,"[8.11,16.22,24.34,32.45,40.56]","[62.23,231.24,461.98,766.45,1177.20]",S_1,/Users/yogehs/Downloads/SbcC/S/1/16.csv,15.0,81.183202147874,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.31,0.42,0.16,0.03,0.00]","[0.07,0.08,0.05,0.02,0.00]","[0.01,0.01,0.01,0.01,0.00]",0.9216,17.566,0.6906931758477856,0.999,1162.419,0.04189767894103812
31,"[8.02,16.05,24.07,32.10,40.12]","[64.37,257.09,564.71,925.78,1302.05]",S_1,/Users/yogehs/Downloads/SbcC/S/1/16.csv,15.0,81.183202147874,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.00,0.00,0.44,0.48,0.12]","[-0.00,-0.00,-0.06,-0.06,-0.03]","[0.00,0.01,0.01,0.01,0.01]",1.043,34.208,4.5312707468897955,0.995,1313.058,-0.025289745887106276
32,"[8.39,16.78,25.17,33.57,41.96]","[64.57,226.22,452.98,731.66,1095.38]",S_1,/Users/yogehs/Downloads/SbcC/S/1/17.csv,16.0,83.94388147632623,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.47,0.34,0.11,0.06,0.00]","[0.10,0.08,0.05,0.04,0.00]","[0.02,0.02,0.00,0.01,0.01]",0.9836,12.439,0.33686770215996825,0.999,806.672,0.048397743528503415
33,"[8.30,16.59,24.89,33.18,41.48]","[67.89,273.58,602.38,995.26,1424.67]",S_1,/Users/yogehs/Downloads/SbcC/S/1/17.csv,16.0,83.94388147632623,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.04,0.01,0.46,0.37,0.08]","[-0.01,-0.01,-0.05,-0.05,-0.02]","[0.00,0.00,0.01,0.01,0.00]",0.9597,39.382,4.686542548154351,0.997,2263.612,-0.026528827138833363
34,"[8.25,16.50,24.75,33.00,41.25]","[65.32,244.16,499.63,809.57,1181.12]",S_1,/Users/yogehs/Downloads/SbcC/S/1/18.csv,17.0,82.60157650923179,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.26,0.33,0.15,0.11,0.01]","[0.06,0.07,0.05,0.04,0.01]","[0.01,0.01,0.01,0.00,0.01]",0.8529,17.201,0.2991737816515265,1.0,1981.262,0.04093485251503082
35,"[8.17,16.35,24.52,32.69,40.87]","[65.86,258.06,554.82,901.12,1314.05]",S_1,/Users/yogehs/Downloads/SbcC/S/1/18.csv,17.0,82.60157650923179,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.10,0.13,0.41,0.13,0.02]","[-0.03,-0.03,-0.06,-0.03,-0.01]","[0.00,0.00,0.01,0.01,0.00]",0.7861,28.15,1.7214742848585507,0.998,4763.179,-0.03623465713663117
